name,email,date_of_birth,mobile_no,is_valid_date,is_valid_email,is_valid_name,is_valid_phone,above_18
 Jeffrey Spencer,Jeffrey_Spencer@cooke.com,1982/12/29,19976,True,True,True,False,True
Nicole Ramsey,Nicole_Ramsey@vega.biz,1970/07/11,340839,True,False,True,False,True
Anne Roy,Anne_Roy@humphrey-smith.com,1969/08/27,87811,True,True,True,False,True
Allison Chavez,Allison_Chavez@lewis.biz,1984-08-18,64931,True,False,True,False,True
Marcus Adams,Marcus_Adams@perry.info,01/22/1985,5901652,True,False,True,False,True
Mary Smith,Mary_Smith@meyer.net,1993/07/17,64046,True,True,True,False,True
Jeff Armstrong,Jeff_Armstrong@kennedy-lucas.com,1954-03-01,88331,True,True,True,False,True
Sean Shields,Sean_Shields@christian.info,2001/02/16,617613,True,False,True,False,True
Christian Grant,Christian_Grant@booker-frank.com,09/23/1979,8851893,True,True,True,False,True
Edward Watson,Edward_Watson@brooks.com,2007-12-04,946371,True,True,True,False,False
Derrick Cooke,Derrick_Cooke@hill.net,2004-09-15,4575922,True,True,True,False,False
Sean Patrick,Sean_Patrick@rivera.com,25-10-2000,41681,True,True,True,False,True
Heather Collins,Heather_Collins@williams.com,1986/12/03,910971,True,True,True,False,True
Megan Gomez,Megan_Gomez@wade-stone.com,2008-01-29,3002476,True,True,True,False,False
William Hale,William_Hale@pena.info,22-04-2007,4519208,True,False,True,False,False
Olivia Thompson,Olivia_Thompson@bryan-navarro.com,30-11-2005,481533,True,True,True,False,False
Lori Torres,Lori_Torres@hill.net,1996/02/31,5795175,False,True,True,False,False
Vickie Hernandez,Vickie_Hernandez@chapman.com,02/14/1963,25106,True,True,True,False,True
Kimberly Brown,Kimberly_Brown@jones.com,11/23/1960,820029,True,True,True,False,True
Phillip Hansen,Phillip_Hansen@spence.com,2010/06/23,816429,True,True,True,False,False
Jeanette Knight,Jeanette_Knight@carey.com,1952/01/30,72491,True,True,True,False,True
Kayla Hanson,Kayla_Hanson@clay.biz,10-08-1967,6484759,True,False,True,False,True
James Johnston,James_Johnston@fox-brandt.org,1968-10-16,52358919,True,False,True,True,True
 John Porter,John_Porter@cobb-lee.com,07-10-1985,4437021,True,True,True,False,True
Elizabeth Reyes,Elizabeth_Reyes@roberson.com,31-01-1955,32301,True,True,True,False,True
Kristen Henry,Kristen_Henry@parker.com,07-02-2014,675081,True,True,True,False,False
Claudia Anderson,Claudia_Anderson@smith-lynch.info,05-10-2012,53767631,True,False,True,True,False
Nicholas Webb,Nicholas_Webb@johnson.com,11/03/1953,993549,True,True,True,False,True
Allison Cooper,Allison_Cooper@taylor.biz,2001/12/05,93151,True,False,True,False,True
Zachary Barnes,Zachary_Barnes@horne.biz,2005-05-03,41935039,True,False,True,True,False
Gregory Hill ,Gregory_Hill@sims-sparks.net,1991/11/02,2850534,True,True,True,False,True
Terry Ayers,Terry_Ayers@morris.com,2007-08-06,76391,True,True,True,False,False
Jessica Wilson,Jessica_Wilson@nichols.com,11/15/1954,662205,True,True,True,False,True
Daniel Frazier,Daniel_Frazier@reilly.org,26-10-2017,2907584,True,False,True,False,False
Brian Welch,Brian_Welch@armstrong.net,11-11-2005,417927,True,True,True,False,False
Carol Chavez,Carol_Chavez@cantu-shelton.com,07/03/2004,4824387,True,True,True,False,False
Ethan Mcdonald,Ethan_Mcdonald@lewis.com,1990-01-15,57126,True,True,True,False,True
Gerald Martinez,Gerald_Martinez@jenkins-barnes.net,1986/07/01,30641,True,True,True,False,True
Eric King,Eric_King@graham.com,14-09-1970,895557,True,True,True,False,True
Sylvia Walters,Sylvia_Walters@archer.com,2009-02-14,64876,True,True,True,False,False
Jonathan Lane,Jonathan_Lane@wright.com,2008/01/09,935133,True,True,True,False,False
Jessica Shaffer,Jessica_Shaffer@alexander.com,2013-03-05,1444542,True,True,True,False,False
Chris Spencer,Chris_Spencer@pacheco.net,04/19/1993,45821,True,True,True,False,True
Mary Clarke,Mary_Clarke@jacobs-martin.org,03/05/1959,6620314,True,False,True,False,True
Timothy Mendoza,Timothy_Mendoza@rodriguez-crawford.com,1979/12/22,45876,True,True,True,False,True
Alicia Hoffman,Alicia_Hoffman@gomez.com,2011-07-16,633645,True,True,True,False,False
Joseph Gardner,Joseph_Gardner@bray.com,18-01-1953,18996,True,True,True,False,True
Rachael Rangel,Rachael_Rangel@marquez.biz,1980-06-18,88691,True,False,True,False,True
Jeffrey Harrington,Jeffrey_Harrington@smith.com,07-08-1966,76691,True,True,True,False,True
Debbie Freeman,Debbie_Freeman@thompson.net,27-04-2010,699285,True,True,True,False,False
Matthew Braun,Matthew_Braun@logan.net,1974/04/28,4133403,True,True,True,False,True
Sheri Hudson,Sheri_Hudson@smith.com,20-09-2009,18706439,True,True,True,True,False
Mary King,Mary_King@thomas-bates.com,05-03-2016,9495998,True,True,True,False,False
Beth Davis,Beth_Davis@hernandez.com,26-09-2010,169533,True,True,True,False,False
Margaret Castillo,Margaret_Castillo@gross.biz,12-12-1960,374415,True,False,True,False,True
Tommy Sandoval,Tommy_Sandoval@fischer.com,24-07-1966,266061,True,True,True,False,True
Christopher Hines,Christopher_Hines@long-hammond.com,10/09/2015,11201,True,True,True,False,False
Richard Wright,Richard_Wright@griffin-fletcher.info,06-01-2006,539817,True,False,True,False,False
Michael Brown,Michael_Brown@smith-schmidt.net,2012/06/18,47713991,True,True,True,True,False
Nathan Yu,Nathan_Yu@murray.com,2001-11-12,67541,True,True,True,False,True
Cameron Ford,Cameron_Ford@finley-vazquez.org,05/23/1966,606009,True,False,True,False,True
Carla Hayes,Carla_Hayes@singh-ponce.net,03/01/1819,6159196,True,True,True,False,True
Gary Figueroa,Gary_Figueroa@hernandez.com,07/11/1963,3026717,True,True,True,False,True
Michael West,Michael_West@rojas.net,2011-07-23,2103781,True,True,True,False,False
Martin Walton,Martin_Walton@grant.org,2011/05/12,593379,True,False,True,False,False
Christopher Stephenson,Christopher_Stephenson@wade.com,05/06/1962,435111,True,True,True,False,True
Eric Ortiz,Eric_Ortiz@johnson.com,2005-02-08,3593234,True,True,True,False,False
Andrew Cowan,Andrew_Cowan@gray-young.info,22-08-1961,128361,True,False,True,False,True
Rhonda Moss ,Rhonda_Moss@nelson.com,1951/12/30,817173,True,True,True,False,True
Sarah Williams,Sarah_Williams@morris.org,05-06-1985,553179,True,False,True,False,True
Carolyn Collins,Carolyn_Collins@taylor.info,1996/12/26,82871,True,False,True,False,True
Larry Mooney,Larry_Mooney@west-sanchez.info,2010-10-28,61381,True,False,True,False,False
Laura Livingston,Laura_Livingston@ponce.biz,1991-03-07,178515,True,False,True,False,True
Candace Mckenzie,Candace_Mckenzie@evans-fields.com,03/18/1952,4009167,True,True,True,False,True
Candace Wallace,Candace_Wallace@dickerson.com,05-08-1998,45146,True,True,True,False,True
Jason White,Jason_White@hill.org,05-05-2005,186057,True,False,True,False,False
Patricia Reynolds,Patricia_Reynolds@holt-sweeney.com,2012/05/08,21775831,True,True,True,True,False
Michael Ellison,Michael_Ellison@brown.com,1988/04/07,398331,True,True,True,False,True
Melissa Robles,Melissa_Robles@ryan-meyers.com,05/19/1980,90836,True,True,True,False,True
Heidi Fry,Heidi_Fry@ross.org,07/02/1998,82436,True,False,True,False,True
James Smith,James_Smith@perez-cole.info,1966/02/25,85794215,True,False,True,True,True
Stephanie Green ,Stephanie_Green@collins.com,2011-11-12,736485,True,True,True,False,False
Stacey Garcia,Stacey_Garcia@dalton-henry.com,1987/01/20,72151,True,True,True,False,True
Glenda Burke,Glenda_Burke@smith.biz,14-03-1976,83726,True,False,True,False,True
Zachary Alvarez,Zachary_Alvarez@kelly.com,2001-09-10,25626,True,True,True,False,True
Carmen Beard,Carmen_Beard@estrada.net,2016/02/29,60170903,True,True,True,True,False
Tony Daniels,Tony_Daniels@arellano.com,06/14/1976,9584653,True,True,True,False,True
Randy Mora,Randy_Mora@herrera-strong.biz,27-11-1993,77326903,True,False,True,True,True
George Aguirre,George_Aguirre@herrera.com,2002/12/01,615255,True,True,True,False,True
Jacqueline Williams,Jacqueline_Williams@bell-salas.biz,1991-08-10,48250447,True,False,True,True,True
April Taylor,April_Taylor@barnes.net,2010-09-15,44364927,True,True,True,True,False
Robert Johnson,Robert_Johnson@kelly.com,03/10/1956,7776119,True,True,True,False,True
Gary White,Gary_White@brown.org,12/31/1962,3255036,True,False,True,False,True
Kim Lowe,Kim_Lowe@pratt.com,11-06-1953,7925947,True,True,True,False,True
Samantha Jones,Samantha_Jones@cortez-frazier.biz,07/21/1955,8965083,True,False,True,False,True
Randy Lozano,Randy_Lozano@patton-peters.com,30-01-1970,469011,True,True,True,False,True
Arthur Chavez,Arthur_Chavez@lyons.com,1988/01/01,398565,True,True,True,False,True
Melissa Miller,Melissa_Miller@anderson-hayes.com,25-02-2011,45981,True,True,True,False,False
Leslie Mccormick,Leslie_Mccormick@moore.com,26-10-1968,240375,True,True,True,False,True
Carlos Rubio,Carlos_Rubio@maynard.org,17-06-2017,8913535,True,False,True,False,False
David York,David_York@shaffer.biz,07/14/1998,628659,True,False,True,False,True
Olivia Poole,Olivia_Poole@blake.com,04/18/1977,7408416,True,True,True,False,True
Wayne Wilson,Wayne_Wilson@christian.com,1958/02/14,8696654,True,True,True,False,True
Elizabeth Moore,Elizabeth_Moore@kelley.biz,1975/05/24,92096903,True,False,True,True,True
Janice Campbell,Janice_Campbell@davis-ryan.com,15-03-1950,951693,True,True,True,False,True
Julie Johnson,Julie_Johnson@brown-murray.biz,2006/06/06,754581,True,False,True,False,False
Robert Soto,Robert_Soto@huffman.org,21-02-1964,157035,True,False,True,False,True
Brenda Cowan,Brenda_Cowan@white-marsh.com,1960/08/24,401061,True,True,True,False,True
Kayla Taylor,Kayla_Taylor@ball.biz,1955-03-23,798915,True,False,True,False,True
Antonio Garcia,Antonio_Garcia@williamson-warren.com,1969-01-23,8287959,True,True,True,False,True
Tyler Cisneros,Tyler_Cisneros@frye-velasquez.info,31-05-1969,581631,True,False,True,False,True
Jillian Crawford,Jillian_Crawford@may-meza.com,1980-06-21,638457,True,True,True,False,True
Karl Pierce,Karl_Pierce@aguilar.com,04/28/1999,4696945,True,True,True,False,True
Joann Taylor,Joann_Taylor@hernandez.com,09/07/1985,645597,True,True,True,False,True
Jennifer Jenkins,Jennifer_Jenkins@gilmore-king.com,12/21/1992,689985,True,True,True,False,True
Nancy Brown,Nancy_Brown@alexander.com,1969-05-01,40586,True,True,True,False,True
Emma Munoz,Emma_Munoz@hill.com,1967/10/17,3247525,True,True,True,False,True
Melissa Mcguire,Melissa_Mcguire@smith-payne.org,1975/04/02,7129991,True,False,True,False,True
Bryan Chavez,Bryan_Chavez@campbell-boyd.com,08-09-2002,686979,True,True,True,False,True
Megan Moore,Megan_Moore@sanchez.com,02/07/1955,6151034,True,True,True,False,True
Robert Williams,Robert_Williams@rogers.net,09-03-1984,5827648,True,True,True,False,True
Kimberly Herrera,Kimberly_Herrera@stevens.com,1987-06-15,274011,True,True,True,False,True
Gloria Potts,Gloria_Potts@kidd.org,20-11-1956,93061,True,False,True,False,True
Suzanne Barnett,Suzanne_Barnett@norman-payne.com,1952-08-28,856419,True,True,True,False,True
Leah Myers,Leah_Myers@nichols-davies.info,1986-09-05,65720823,True,False,True,True,True
Kylie Thomas,Kylie_Thomas@thomas.com,1996/10/05,950613,True,True,True,False,True
Christopher Matthews,Christopher_Matthews@holloway.com,18-04-1969,5612601,True,True,True,False,True
Nicole Parks,Nicole_Parks@haney-hahn.org,2005-05-09,4168158,True,False,True,False,False
Kevin Chambers,Kevin_Chambers@brown-miller.com,1996-12-03,31371,True,True,True,False,True
Kimberly Lawson,Kimberly_Lawson@bennett-fletcher.com,1968/08/24,8918561,True,True,True,False,True
Rachel Lopez,Rachel_Lopez@nichols.com,08/14/1964,88726,True,True,True,False,True
Christopher Clay,Christopher_Clay@clark-brown.biz,2017-04-21,563625,True,False,True,False,False
Daniel Martin,Daniel_Martin@mendez-miller.com,1961-09-29,2787681,True,True,True,False,True
William Taylor,William_Taylor@garcia-bush.net,11/04/1955,374985,True,True,True,False,True
Steven Johnson,Steven_Johnson@hall.com,2005-07-16,95881,True,True,True,False,False
Daniel Miller,Daniel_Miller@jackson.info,19-01-2000,86343895,True,False,True,True,True
Taylor Bryant,Taylor_Bryant@walker.com,04/06/2016,80016,True,True,True,False,False
Lindsey Robertson,Lindsey_Robertson@solomon.com,06/03/1970,51586,True,True,True,False,True
Allison Thomas,Allison_Thomas@phillips-garcia.com,13-02-1968,5959150,True,True,True,False,True
Susan Parsons,Susan_Parsons@carter.biz,07/29/1994,724803,True,False,True,False,True
Brady Snyder,Brady_Snyder@archer.com,15-06-1999,703269,True,True,True,False,True
Brent Mcgrath,Brent_Mcgrath@jackson-maxwell.info,2017/02/26,225897,True,False,True,False,False
Peter Smith,Peter_Smith@wright.com,12/29/1950,707703,True,True,True,False,True
Deborah Fox,Deborah_Fox@watts.org,2017/02/22,3735915,True,False,True,False,False
Heather Collins,Heather_Collins@daniels.com,2017/08/20,880443,True,True,True,False,False
Nicholas Hubbard,Nicholas_Hubbard@day.info,1964/12/24,36966279,True,False,True,True,True
Misty Ramirez,Misty_Ramirez@chavez.com,23-10-2014,1951391,True,True,True,False,False
Scott Johnson,Scott_Johnson@davis.com,03/11/1965,682641,True,True,True,False,True
Jay Nixon,Jay_Nixon@brown-sanchez.info,1961/08/29,128097,True,False,True,False,True
Tony Hall,Tony_Hall@david.com,2009-02-16,8117866,True,True,True,False,False
Taylor Smith,Taylor_Smith@williams-burns.info,1985-04-09,8532231,True,False,True,False,True
Mark Reynolds,Mark_Reynolds@stokes-mcpherson.com,06/01/1989,1255759,True,True,True,False,True
Marilyn Christensen,Marilyn_Christensen@cooper-ward.com,26-03-2008,94007639,True,True,True,True,False
Denise Atkins,Denise_Atkins@smith-shelton.net,2011/01/18,691611,True,True,True,False,False
Melissa Gonzales,Melissa_Gonzales@collins.com,2018-11-03,513771,True,True,True,False,False
Henry Hoffman,Henry_Hoffman@hubbard-garrett.com,18-05-1965,38756,True,True,True,False,True
Daisy Davenport,Daisy_Davenport@spencer-guerrero.info,1993/01/15,20866,True,False,True,False,True
Christopher Paul,Christopher_Paul@smith-gonzales.com,18-03-1955,8029330,True,True,True,False,True
Kevin Craig,Kevin_Craig@osborne-hudson.biz,14-04-2011,939093,True,False,True,False,False
Natalie Coleman,Natalie_Coleman@robertson.com,2011/10/17,80856,True,True,True,False,False
Gary Bonilla,Gary_Bonilla@carr.biz,03/16/1992,636849,True,False,True,False,True
Amanda Richards,Amanda_Richards@ramirez.biz,23-12-1970,32284303,True,False,True,True,True
Heidi Perez,Heidi_Perez@harper.com,13-04-1970,215895,True,True,True,False,True
Robert Johnson,Robert_Johnson@mitchell.info,10/18/2000,6258351,True,False,True,False,True
Gary Mills,Gary_Mills@pearson-benson.com,1957-01-10,18231,True,True,True,False,True
Chelsea Caldwell,Chelsea_Caldwell@gomez.com,17-02-1995,268449,True,True,True,False,True
John Frye,John_Frye@johnson.org,11/18/1950,3519734,True,False,True,False,True
Michael Strong,Michael_Strong@bradley.com,24-11-1969,575217,True,True,True,False,True
Christopher Delgado,Christopher_Delgado@robinson.com,2016-07-16,715353,True,True,True,False,False
Whitney Wallace,Whitney_Wallace@valdez.info,1978-09-30,97125103,True,False,True,True,True
Rebecca Martinez,Rebecca_Martinez@russell.com,10/26/1988,171597,True,True,True,False,True
Marissa Mccoy,Marissa_Mccoy@ruiz.com,1991-08-23,9407994,True,True,True,False,True
Ricky Kerr,Ricky_Kerr@fischer-savage.biz,2006/04/27,200889,True,False,True,False,False
Anna Campbell,Anna_Campbell@alvarez.com,11-04-1991,875505,True,True,True,False,True
Marie Walters,Marie_Walters@navarro.biz,1978-03-10,995145,True,False,True,False,True
James Dixon,James_Dixon@manning.com,05/18/2007,337551,True,True,True,False,False
Vicki Ramirez,Vicki_Ramirez@mcdonald.com,2013-01-17,71806,True,True,True,False,False
Krista Campbell,Krista_Campbell@stark.net,24-04-1994,357441,True,True,True,False,True
Lauren Patterson,Lauren_Patterson@love-taylor.net,12/01/2009,85706,True,True,True,False,False
Megan Clark,Megan_Clark@lutz-garrison.info,1960/09/28,17556,True,False,True,False,True
Judy Zimmerman,Judy_Zimmerman@baker.com,11/09/2017,6415123,True,True,True,False,False
Joseph Williams ,Joseph_Williams@wall-smith.info,2001-07-01,97871,True,False,True,False,True
Lori Acevedo,Lori_Acevedo@randolph.com,30-10-1978,50796,True,True,True,False,True
Dawn Snyder,Dawn_Snyder@long-hamilton.info,1956-07-08,245361,True,False,True,False,True
Jennifer Simmons,Jennifer_Simmons@matthews.com,05-11-1984,69056,True,True,True,False,True
Alyssa Nunez,Alyssa_Nunez@johnson.com,1992-08-24,46831,True,True,True,False,True
Robert Black,Robert_Black@cooper.biz,19-06-1980,768243,True,False,True,False,True
Julia Young,Julia_Young@bishop.info,20-07-1989,67471,True,False,True,False,True
Melinda Barnes,Melinda_Barnes@porter.com,1953/06/18,83881,True,True,True,False,True
 Brett Armstrong,Brett_Armstrong@baker-madden.net,03/17/1982,849219,True,True,True,False,True
Erik Stevenson,Erik_Stevenson@byrd.com,2007-07-06,171309,True,True,True,False,False
Daniel George,Daniel_George@wolf-rojas.com,1984-12-09,280101,True,True,True,False,True
Lindsey Jones,Lindsey_Jones@roberts-gonzalez.net,27-03-1954,3487156,True,True,True,False,True
Virginia Lopez,Virginia_Lopez@anderson.com,05-08-1993,4644613,True,True,True,False,True
Andrew Brown,Andrew_Brown@lindsey-villanueva.com,1992-04-04,2683360,True,True,True,False,True
Donna Lowery,Donna_Lowery@warren.info,1955/03/26,1934388,True,False,True,False,True
Alexis Andrade,Alexis_Andrade@santiago.com,05/04/2014,77956,True,True,True,False,False
Tara Johnson,Tara_Johnson@smith-brown.com,01/01/1962,74946,True,True,True,False,True
Pamela Scott,Pamela_Scott@thompson-myers.com,04/08/1994,90651,True,True,True,False,True
Martin Ward,Martin_Ward@jones.info,1992-08-15,787521,True,False,True,False,True
Kristina Hernandez,Kristina_Hernandez@martin.com,1963/08/21,12016,True,True,True,False,True
Robert Bush,Robert_Bush@simmons.com,01/10/1968,17296,True,True,True,False,True
Rebecca Larson,Rebecca_Larson@shannon-long.com,01/14/1993,12481,True,True,True,False,True
Brittany Watson,Brittany_Watson@hernandez.biz,1990/06/19,550599,True,False,True,False,True
Edward Burns,Edward_Burns@graham.org,1951-06-18,68976471,True,False,True,True,True
John Prince,John_Prince@rodriguez-richardson.com,07-03-1976,940833,True,True,True,False,True
Ashley Boyer,Ashley_Boyer@miller.com,20-10-1970,815421,True,True,True,False,True
James Dean,James_Dean@garcia.com,1991/09/21,590115,True,True,True,False,True
Natalie Gordon,Natalie_Gordon@zhang.com,23-03-2013,764475,True,True,True,False,False
Ryan Smith,Ryan_Smith@simpson-smith.com,1976/07/06,229317,True,True,True,False,True
William Delgado,William_Delgado@russell.com,2007-08-16,71961335,True,True,True,True,False
Brian Johnson,Brian_Johnson@glover.com,06/06/1954,6134969,True,True,True,False,True
James Patel,James_Patel@ramos.com,04/21/1951,4207491,True,True,True,False,True
Allen Rogers,Allen_Rogers@lewis.org,1961/03/05,88834151,True,False,True,True,True
Aimee Reyes,Aimee_Reyes@dunn.com,1954-12-14,3252852,True,True,True,False,True
Edward Griffin,Edward_Griffin@mcconnell.net,01-12-1988,73951,True,True,True,False,True
Debra Baker,Debra_Baker@mitchell.com,2017/07/28,87896,True,True,True,False,False
Yvette Kramer,Yvette_Kramer@greene.biz,05/13/1997,9038562,True,False,True,False,True
Alyssa Williams ,Alyssa_Williams@huff.com,1958/03/16,25031,True,True,True,False,True
John Cunningham,John_Cunningham@moore-norton.com,2002/10/07,89356,True,True,True,False,True
Dana Gilbert,Dana_Gilbert@mclean-livingston.biz,30-04-1976,8521150,True,False,True,False,True
Stephen Henry,Stephen_Henry@jones.com,1981/07/23,58641,True,True,True,False,True
Bradley James,Bradley_James@smith.com,1965-11-03,6789630,True,True,True,False,True
Melinda Peters,Melinda_Peters@schroeder-king.com,02/12/1973,275385,True,True,True,False,True
Robert Goodman,Robert_Goodman@atkinson.com,01/31/2010,81801,True,True,True,False,False
Leslie Moore,Leslie_Moore@waller.org,12/09/1984,1323 7891,True,False,True,True,True
Sarah Gray,Sarah_Gray@ryan-reese.org,08/27/1995,18121,True,False,True,False,True
Amy Haynes,Amy_Haynes@suarez.net,2000-01-28,57376,True,True,True,False,True
Gary Dean,Gary_Dean@harrison-farley.com,07/03/1955,519399,True,True,True,False,True
Jonathan Duran,Jonathan_Duran@dixon.com,10/20/1981,289695,True,True,True,False,True
Elizabeth Ruiz,Elizabeth_Ruiz@bell-ho.com,1979/02/02,697629,True,True,True,False,True
Caitlin Lewis,Caitlin_Lewis@miller.com,07/04/2007,7931512,True,True,True,False,False
Micheal Blackburn,Micheal_Blackburn@lewis.org,10/10/1962,7063 7879,True,False,True,True,True
Sheryl Mccarthy,Sheryl_Mccarthy@fox-johnson.org,03/29/1997,3859556,True,False,True,False,True
Lisa Smith,Lisa_Smith@johnson.com,09/21/2004,12546,True,True,True,False,False
Jared Juarez,Jared_Juarez@neal.info,12/04/1975,65986,True,False,True,False,True
Brett Castro,Brett_Castro@wilson.com,2005/03/11,875235,True,True,True,False,False
Jessica Murray,Jessica_Murray@lewis.com,2000-09-08,97696,True,True,True,False,True
Austin Coffey,Austin_Coffey@wolf.biz,2010/07/03,782595,True,False,True,False,False
Shelly Jacobs,Shelly_Jacobs@jones.org,24-02-1977,9984906,True,False,True,False,True
Elizabeth Logan,Elizabeth_Logan@hale.org,2005/01/14,177789,True,False,True,False,False
